Date,ABANDONMENT OF MINOR,ACTS OF LASCIVIOUSNESS,ADULTERY  - RPC Art. 333,ALARMS AND SCANDALS  - RPC Art. 155,ANTI-CABLE TELEVISION AND CABLE INTERNET TAPPING, Violation of ANTI-CATTLE RUSTLING LAW ,ANTI-ELECTRICITY AND ELECTRIC TRANSMISSION LINES/MATERIALS PILFERAGE ACT,Violation of ANTI-FENCING LAW ,Violation of ANTI-GAMBLING LAW,Violation of ANTI-GRAFT AND CORRUPT PRACTICES ACT ,HIGHWAY ROBBERY,RAPE,Violation of ANTI-TRAFFICKING IN PERSONS ACT,VIOLENCE AGAINST WOMEN AND THEIR CHILDREN,ARSON OF PROPERTY OF SMALL VALUE,BIGAMY ,BOUNCING CHECK,BURNING ONE'S OWN PROPERTY AS MEANS TO COMMIT ARSON,COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002  - RA 9165,Illegal pessession of  FIREARMS AND AMMUNITION,CONCUBINAGE,Violation of CYBERCRIME PREVENTION ACT ,DESTRUCTIVE ARSON ,DIRECT ASSAULTS  - RPC Art. 148,FALSIFICATION BY PRIVATE INDIVIDUAL AND USE OF FALSIFIED DOCUMENTS  - RPC Art. 172,GRAVE COERCIONS  - RPC Art. 286 amended by 3815 and RA 7890,GRAVE THREATS  - RPC Art. 282,HOMICIDE  - RPC Art. 249,ILLEGAL POSSESSION AND USE OF FALSE TREASURY OR BANK NOTES AND OTHER INSTRUMENTS OF CREDIT  - RPC Art. 168,"ILLEGAL POSSESSION OF BLADED, POINTED OR BLUNT WEAPONS - BP 6","ILLEGAL POSSESSION, MANUFACTURE, ACQUISITION, OF FIREARMS, AMMUNITION OR EXPLOSIVES - PD 1866 as amended by RA 8294 and RA 9516",JUVENILE JUSTICE AND WELFARE ACT OF 2006  - RA 9344,KIDNAPPING AND SERIOUS ILLEGAL DETENTION  - RPC Art. 267 as amended by RA 18 and RA 1084,LESS SERIOUS PHYSICAL INJURIES  - RPC Art. 265,LIBEL  - RPC Art. 353,LIGHT THREATS  - RPC Art. 283,MALICIOUS MISCHIEF  - RPC Art. 327,MURDER  - RPC Art. 248,NEW ANTI-CARNAPPING ACT OF 2016 - MC - RA 10883 (repealed RA 6539),OMNIBUS ELECTION CODE OF THE PHILIPPINES - BP 881,OTHER FORMS OF SWINDLING  - RPC Art. 316 as amended by PD 1689,OTHER FORMS OF TRESPASS  - RPC Art. 281,PARRICIDE  - RPC Art. 246,OBSTRUCTION OF APPREHENSION AND PROSECUTION OF CRIMINAL OFFENDERS.  - PD 1829,violation of PHILIPPINE MINING ACT OF 1995 - RA 7942,PHYSICAL INJURIES INFLICTED IN A TUMULTUOUS AFFRAY.  - RPC Art. 252,QUALIFIED RAPE - RPC Art 266-B,QUALIFIED THEFT  - RPC Art. 310  as amended by BP Blg 71,QUALIFIED TRESPASS TO DWELLING  - RPC Art. 280,RAPE - RPC Art 266-A,RESISTANCE AND DISOBEDIENCE TO A PERSON IN AUTHORITY OR THE AGENTS OF SUCH PERSON  - RPC Art. 151,ROBBERY  - RPC Art. 293,SAFE SPACES ACT (GENDER BASED SEXUAL HARASSMENT) - RA 11313,SERIOUS PHYSICAL INJURIES  - RPC Art. 263,SEXUAL ASSAULT - RPC Art 266-A,SEXUAL HARRASSMENT ACT OF 1995  - RA 7877,SLANDER (ORAL DEFAMATION) - RPC Art. 358,SLANDER BY DEED  - RPC Art. 359,SLIGHT ILLEGAL DETENTION  - RPC Art. 268,SLIGHT PHYSICAL INJURIES AND MALTREATMENT  - RPC Art. 266,"SPECIAL PROTECTION OF CHILDREN AGAINST CHILD ABUSE, EXPLOITATION AND DISCRIMINATION ACT. (ANTI- CHILD ABUSE LAW)  - RA 7610",SWINDLING (ESTAFA)  - RPC Art. 315 as amended by PD 1689,SWINDLING A MINOR  - RPC Art. 317,TARIFF AND CUSTOMS LAWS (ANTI-SMUGGLING) - PD 1464,THEFT  - RPC Art. 308,USING FICTITIOUS NAME AND CONCEALING TRUE NAME  - RPC Art. 178,USURPATION OF AUTHORITY OR OFFICIAL FUNCTIONS  - RPC Art. 177,GRAND TOTAL
01/01/2013 0:00,0,1,0,1,0,1,0,0,1,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,19,0,3,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,3,5,0,0,24,0,0,87
01/02/2013 0:00,0,1,0,1,0,0,0,0,2,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,5,3,0,0,3,0,0,27,0,7,8,1,4,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,2,0,0,0,4,1,0,0,17,0,0,104
01/03/2013 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,17,0,6,1,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4,1,0,8,4,0,1,0,16,0,0,76
01/04/2013 0:00,0,0,0,2,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,6,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,14,3,1,0,15,0,0,84
01/05/2013 0:00,0,2,0,4,0,0,0,0,0,0,0,5,0,18,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,6,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,12,8,4,0,0,14,0,0,92
01/06/2013 0:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,10,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,6,0,0,21,0,0,59
01/07/2013 0:00,1,0,0,2,0,0,0,0,0,0,0,1,0,27,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,28,0,26,5,7,0,0,3,0,0,0,0,0,0,4,0,0,0,13,0,27,0,0,0,0,0,0,5,5,0,0,22,0,0,185
01/08/2013 0:00,0,1,0,1,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,33,0,18,10,4,3,0,1,0,0,0,0,0,0,2,0,0,0,15,0,3,0,0,9,0,0,3,4,10,0,0,22,0,0,171
01/09/2013 0:00,0,3,0,2,0,0,0,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,2,0,49,0,30,11,5,2,0,0,0,0,0,0,0,0,2,0,0,0,14,0,4,0,0,6,0,0,9,12,6,0,0,36,0,0,227
01/10/2013 0:00,0,0,0,0,0,0,0,1,2,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,4,0,19,0,10,12,9,7,0,0,1,0,0,0,0,0,1,0,0,0,26,0,11,0,0,7,0,0,5,4,13,0,0,37,0,0,189
01/11/2013 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,3,1,0,0,1,0,0,2,0,1,8,4,8,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,1,0,10,0,0,25,0,0,86
01/12/2013 0:00,0,2,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,2,1,0,0,2,1,0,16,0,0,11,6,8,0,0,0,0,0,0,2,0,1,0,0,0,19,0,16,0,0,1,0,0,0,1,8,0,0,49,0,0,163
01/01/2014 0:00,0,1,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,9,2,0,0,36,0,0,73
01/02/2014 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,13,1,0,0,11,0,0,53
